latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
48.25,-110.75,0.19675,0.0175,0.0,0.0,0.752,True
48.25,-110.25,0.23425,0.2245,0.0,0.0,0.488,True
48.25,-109.75,0.049,0.049,0.0,0.0,0.098,True
48.25,-109.25,0.48624999999999996,0.5275,0.0,0.0,0.89,True
48.25,-108.75,0.26675,0.24,0.0,0.0,0.587,True
48.25,-108.25,0.1605,0.1495,0.0,0.0,0.343,True
48.25,-107.75,0.36024999999999996,0.246,0.0,0.071,0.878,True
48.25,-107.25,0.48725,0.4195,0.0,0.11,1.0,True
48.25,-106.75,0.6890000000000001,0.738,1.0,0.28,1.0,True
48.25,-106.25,0.7342500000000001,0.7655000000000001,0.4,0.406,1.0,True
48.25,-105.75,0.749,0.7915,0.4,0.413,1.0,True
48.25,-105.25,0.4605,0.421,0.0,0.0,1.0,True
48.25,-104.75,0.7497499999999999,0.8265,0.2,0.346,1.0,True
48.25,-104.25,0.633,0.689,0.0,0.154,1.0,True
48.25,-103.75,0.62,0.74,1.0,0.0,1.0,True
48.25,-103.25,0.5985,0.7030000000000001,0.8,0.0,0.988,True
48.25,-102.75,0.63575,0.7715000000000001,1.0,0.0,1.0,True
48.25,-102.25,0.98725,1.0,1.0,0.949,1.0,True
48.25,-101.75,0.7825,0.8955,1.0,0.339,1.0,True
48.25,-101.25,0.74225,0.7855,1.0,0.398,1.0,True
48.25,-100.75,0.8425,1.0,1.0,0.37,1.0,True
48.25,-100.25,0.7597499999999999,0.988,1.0,0.063,1.0,True
48.25,-99.75,0.752,1.0,1.0,0.008,1.0,True
48.25,-99.25,0.36700000000000005,0.23399999999999999,0.0,0.0,1.0,True
48.25,-98.75,0.5245,0.549,0.0,0.0,1.0,True
48.25,-98.25,0.4065,0.313,0.0,0.0,1.0,True
48.25,-97.75,0.6595,0.819,1.0,0.0,1.0,True
48.25,-97.25,0.761,0.882,0.8,0.28,1.0,True
48.25,-96.75,0.58975,0.646,0.0,0.067,1.0,True
48.25,-96.25,0.48525,0.47050000000000003,0.4,0.0,1.0,True
48.25,-95.75,0.309,0.116,0.0,0.004,1.0,True
48.25,-95.25,0.48824999999999996,0.4765,0.0,0.0,1.0,True
48.25,-94.75,0.5640000000000001,0.626,1.0,0.004,1.0,True
48.25,-94.25,0.32875,0.1575,0.0,0.0,1.0,True
48.25,-93.75,0.47350000000000003,0.447,0.0,0.0,1.0,True
48.25,-93.25,0.5,0.5,0.0,0.0,1.0,True
48.25,-92.75,0.5185,0.5215,0.0,0.031,1.0,True
48.25,-92.25,0.52,0.528,0.4,0.024,1.0,True
47.75,-124.25,0.75,1.0,1.0,0.0,1.0,True
47.75,-123.75,0.815,1.0,1.0,0.26,1.0,True
47.75,-123.25,0.806,1.0,1.0,0.224,1.0,True
47.75,-122.25,0.427,0.35400000000000004,0.0,0.0,1.0,True
47.75,-121.75,0.60525,0.7104999999999999,0.0,0.0,1.0,True
