latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
48.25,-112.75,0.805,0.906,0.8,0.004,1.0,True
48.25,-112.25,0.7702727272727272,0.902,0.8,0.0,1.0,True
48.25,-111.75,0.6452727272727272,0.614,1.0,0.0,1.0,True
48.25,-111.25,0.6904545454545455,0.969,1.0,0.0,1.0,True
48.25,-110.75,0.6947272727272726,1.0,1.0,0.0,1.0,True
48.25,-110.25,0.5024545454545454,0.539,0.0,0.0,1.0,True
48.25,-109.75,0.5479999999999999,0.622,0.0,0.0,1.0,True
48.25,-109.25,0.6652727272727273,0.937,0.8,0.0,1.0,True
48.25,-108.75,0.6278181818181818,0.87,0.8,0.0,1.0,True
48.25,-108.25,0.6088181818181819,0.673,0.8,0.024,1.0,True
48.25,-107.75,0.5271818181818181,0.488,0.0,0.0,1.0,True
48.25,-107.25,0.5733636363636364,0.732,0.0,0.0,1.0,True
48.25,-106.75,0.5476363636363636,0.76,0.0,0.0,1.0,True
48.25,-106.25,0.7236363636363636,0.909,1.0,0.0,1.0,True
48.25,-105.75,0.736181818181818,0.969,0.8,0.0,1.0,True
48.25,-105.25,0.6364545454545454,0.965,0.0,0.0,1.0,True
48.25,-104.75,0.4588181818181818,0.063,0.0,0.0,1.0,True
48.25,-104.25,0.5269090909090909,0.744,0.0,0.0,1.0,True
48.25,-103.75,0.4441818181818182,0.319,0.0,0.0,1.0,True
48.25,-103.25,0.5648181818181818,0.898,0.0,0.0,1.0,True
48.25,-102.75,0.6140909090909091,0.921,1.0,0.0,1.0,True
48.25,-102.25,0.5894545454545455,0.665,1.0,0.0,1.0,True
48.25,-101.75,0.45854545454545453,0.181,0.0,0.0,1.0,True
48.25,-101.25,0.4687272727272727,0.346,0.0,0.0,1.0,True
48.25,-100.75,0.6023636363636363,0.76,1.0,0.0,1.0,True
48.25,-100.25,0.741090909090909,0.909,0.8,0.0,1.0,True
48.25,-99.75,0.8078181818181818,1.0,1.0,0.004,1.0,True
48.25,-99.25,0.779909090909091,1.0,1.0,0.059,1.0,True
48.25,-98.75,0.7827272727272727,0.764,1.0,0.35,1.0,True
48.25,-98.25,0.7661818181818183,0.917,0.8,0.0,1.0,True
48.25,-97.75,0.836090909090909,1.0,1.0,0.0,1.0,True
48.25,-97.25,0.9856363636363636,1.0,1.0,0.906,1.0,True
48.25,-96.75,0.8328181818181818,1.0,1.0,0.315,1.0,True
48.25,-96.25,0.8647272727272728,1.0,1.0,0.0,1.0,True
48.25,-95.75,0.8490909090909091,1.0,1.0,0.028,1.0,True
48.25,-95.25,0.8129090909090909,1.0,1.0,0.0,1.0,True
48.25,-94.75,0.8804545454545455,1.0,1.0,0.0,1.0,True
48.25,-94.25,0.7580909090909091,1.0,1.0,0.028,1.0,True
48.25,-93.75,0.7655454545454545,1.0,1.0,0.0,1.0,True
48.25,-93.25,0.7949090909090909,1.0,1.0,0.0,1.0,True
48.25,-92.75,0.7323636363636363,0.894,1.0,0.091,1.0,True
48.25,-92.25,0.7938181818181818,0.992,1.0,0.185,1.0,True
47.75,-124.25,0.7670000000000001,1.0,1.0,0.0,1.0,True
47.75,-123.75,0.8718181818181818,1.0,1.0,0.0,1.0,True
47.75,-123.25,0.8832727272727272,1.0,1.0,0.031,1.0,True
47.75,-122.25,0.7501818181818181,1.0,1.0,0.004,1.0,True
47.75,-121.75,0.8618181818181818,1.0,1.0,0.157,1.0,True
47.75,-121.25,0.8865454545454546,1.0,1.0,0.146,1.0,True
47.75,-120.75,0.7154545454545455,0.669,0.6000000000000001,0.094,1.0,True
47.75,-120.25,0.6867272727272727,0.988,1.0,0.075,1.0,True
47.75,-119.75,0.5387272727272727,0.701,0.0,0.0,1.0,True
47.75,-119.25,0.5727272727272728,0.646,0.0,0.0,1.0,True
47.75,-118.75,0.7217272727272728,0.98,1.0,0.0,1.0,True
47.75,-118.25,0.7972727272727274,0.913,0.8,0.236,1.0,True
47.75,-117.75,0.7677272727272727,1.0,1.0,0.0,1.0,True
47.75,-117.25,0.7262727272727273,1.0,1.0,0.008,1.0,True
47.75,-116.75,0.738090909090909,0.969,1.0,0.154,1.0,True
47.75,-116.25,0.8282727272727274,1.0,1.0,0.264,1.0,True
47.75,-115.75,0.9144545454545454,1.0,1.0,0.437,1.0,True
47.75,-115.25,0.9600000000000001,1.0,1.0,0.756,1.0,True
47.75,-114.75,0.9728181818181819,1.0,1.0,0.839,1.0,True
47.75,-114.25,0.8765454545454545,1.0,1.0,0.39,1.0,True
47.75,-113.75,0.8765454545454545,1.0,1.0,0.512,1.0,True
47.75,-113.25,0.8776363636363637,1.0,1.0,0.327,1.0,True
47.75,-112.75,0.9036363636363638,0.984,0.8,0.563,1.0,True
47.75,-112.25,0.6610909090909091,0.748,1.0,0.0,1.0,True
47.75,-111.75,0.6342727272727273,0.76,1.0,0.012,1.0,True
47.75,-111.25,0.7383636363636363,0.976,1.0,0.02,1.0,True
47.75,-110.75,0.6821818181818182,0.992,1.0,0.0,1.0,True
47.75,-110.25,0.7079090909090909,0.988,1.0,0.0,1.0,True
47.75,-109.75,0.7766363636363636,1.0,1.0,0.0,1.0,True
47.75,-109.25,0.7090909090909091,0.969,1.0,0.0,1.0,True
47.75,-108.75,0.7412727272727273,1.0,1.0,0.0,1.0,True
47.75,-108.25,0.7000000000000001,0.98,1.0,0.0,1.0,True
47.75,-107.75,0.6205454545454545,0.791,1.0,0.0,1.0,True
47.75,-107.25,0.6753636363636363,1.0,1.0,0.0,1.0,True
47.75,-106.75,0.588,0.591,0.0,0.0,1.0,True
47.75,-106.25,0.4390909090909091,0.319,0.0,0.008,1.0,True
47.75,-105.75,0.6231818181818182,0.571,1.0,0.028,1.0,True
47.75,-105.25,0.5997272727272728,0.913,0.0,0.0,1.0,True
47.75,-104.75,0.5544545454545454,0.772,0.0,0.0,1.0,True
47.75,-104.25,0.45781818181818185,0.091,0.0,0.0,1.0,True
47.75,-103.75,0.5279090909090909,0.492,1.0,0.0,1.0,True
47.75,-103.25,0.4702727272727273,0.547,0.0,0.0,1.0,True
47.75,-102.75,0.5224545454545454,0.48,0.0,0.0,1.0,True
47.75,-102.25,0.5694545454545454,0.72,0.0,0.0,1.0,True
47.75,-101.75,0.4696363636363637,0.319,0.0,0.0,1.0,True
47.75,-101.25,0.493090909090909,0.425,0.0,0.0,1.0,True
47.75,-100.75,0.5129090909090909,0.638,0.0,0.0,1.0,True
47.75,-100.25,0.5540909090909091,0.539,1.0,0.0,1.0,True
47.75,-99.75,0.7065454545454545,0.937,1.0,0.0,1.0,True
47.75,-99.25,0.7068181818181819,1.0,1.0,0.0,1.0,True
47.75,-98.75,0.7455454545454546,1.0,1.0,0.0,1.0,True
47.75,-98.25,0.7662727272727273,1.0,1.0,0.063,1.0,True
47.75,-97.75,0.7333636363636363,0.807,1.0,0.051,1.0,True
47.75,-97.25,0.727,0.965,1.0,0.039,1.0,True
47.75,-96.75,0.9098181818181817,1.0,1.0,0.327,1.0,True
47.75,-96.25,0.8045454545454546,0.988,1.0,0.055,1.0,True
47.75,-95.75,0.8579090909090908,1.0,1.0,0.091,1.0,True
47.75,-95.25,0.8786363636363635,1.0,1.0,0.0,1.0,True
47.75,-94.75,0.8378181818181818,1.0,1.0,0.0,1.0,True
47.75,-94.25,0.8911818181818183,0.976,0.8,0.122,1.0,True
47.75,-93.75,0.7644545454545455,1.0,1.0,0.0,1.0,True
47.75,-93.25,0.876909090909091,0.902,1.0,0.362,1.0,True
47.75,-92.75,0.7294545454545456,1.0,1.0,0.083,1.0,True
47.75,-92.25,0.7973636363636363,0.992,1.0,0.177,1.0,True
47.75,-91.75,0.8370000000000001,1.0,1.0,0.346,1.0,True
47.75,-91.25,0.7422727272727272,1.0,1.0,0.039,1.0,True
