latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
48.25,-112.25,0.6615,0.6695,0.2,0.307,1.0,True
48.25,-111.75,0.7785,0.9155,0.8,0.283,1.0,True
48.25,-111.25,0.7772499999999999,0.7535000000000001,0.6000000000000001,0.602,1.0,True
48.25,-110.75,0.57875,0.5315000000000001,0.2,0.252,1.0,True
48.25,-110.25,0.7510000000000001,0.752,0.6000000000000001,0.5,1.0,True
48.25,-109.75,0.96075,0.9824999999999999,0.8,0.878,1.0,True
48.25,-109.25,0.7795,0.8425,0.8,0.433,1.0,True
48.25,-108.75,0.7735,0.998,1.0,0.098,1.0,True
48.25,-108.25,0.73525,0.8585,1.0,0.224,1.0,True
48.25,-107.75,0.622,0.7225,1.0,0.043,1.0,True
48.25,-107.25,0.8465,0.876,0.6000000000000001,0.634,1.0,True
48.25,-106.75,0.58375,0.624,1.0,0.087,1.0,True
48.25,-106.25,0.60925,0.575,0.2,0.287,1.0,True
48.25,-105.75,0.499,0.498,0.4,0.0,1.0,True
48.25,-105.25,0.68,0.7145,0.2,0.291,1.0,True
48.25,-104.75,0.626,0.752,0.0,0.0,1.0,True
48.25,-104.25,0.4685,0.43700000000000006,0.0,0.0,1.0,True
48.25,-103.75,0.57475,0.6495,0.0,0.0,1.0,True
48.25,-103.25,0.41925,0.3385,0.0,0.0,1.0,True
48.25,-102.75,0.375,0.25,0.0,0.0,1.0,True
48.25,-102.25,0.45275,0.40549999999999997,0.0,0.0,1.0,True
48.25,-101.75,0.44575,0.3915,0.0,0.0,1.0,True
48.25,-101.25,0.5365,0.573,0.0,0.0,1.0,True
48.25,-100.75,0.73925,0.9784999999999999,1.0,0.0,1.0,True
48.25,-100.25,0.5865,0.673,1.0,0.0,1.0,True
48.25,-99.75,0.58575,0.6715,1.0,0.0,1.0,True
48.25,-99.25,0.5315,0.563,0.0,0.0,1.0,True
48.25,-98.75,0.75875,0.9015,1.0,0.232,1.0,True
48.25,-98.25,0.815,1.0,1.0,0.26,1.0,True
48.25,-97.75,0.755,1.0,1.0,0.02,1.0,True
48.25,-97.25,0.92325,1.0,1.0,0.693,1.0,True
48.25,-96.75,0.942,1.0,1.0,0.768,1.0,True
48.25,-96.25,0.876,1.0,1.0,0.504,1.0,True
48.25,-95.75,0.7155,0.736,1.0,0.39,1.0,True
